survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,family_size,is_alone,age_group,fare_per_person,title,fare_bin,sex_male,embarked_C,embarked_Q,embarked_S,pclass_1,pclass_2,pclass_3,age_group_Child,age_group_Teen,age_group_Adult,age_group_Middle_Age,age_group_Senior,title_child,title_man,title_woman,fare_bin_Low,fare_bin_Medium,fare_bin_High,fare_bin_Very_High,deck_A,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G
0,3,male,0.6702056062754514,1,5,-0.06945953335858349,S,Third,man,True,,Southampton,no,False,3.324766560563589,0,Middle_Age,-0.44646337773472494,man,High,1,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
0,3,female,-1.1165610444990626,0,0,-0.5174906876893942,S,Third,child,False,,Southampton,no,True,-0.6223367722723301,1,Teen,-0.3572100726607992,child,Low,0,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
1,2,female,1.8137362627711402,0,0,-0.3616645768414335,S,Second,woman,False,,Southampton,yes,True,-0.6223367722723301,1,Middle_Age,-0.14251250565643334,woman,Medium,0,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
0,3,male,-1.9742090368708292,4,1,-0.11058823014995024,Q,Third,child,False,,Queenstown,no,False,2.666916005090936,0,Child,-0.4362814784894058,child,High,1,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
1,2,male,0.026969611996626397,0,0,-0.4190534560852011,S,Second,man,True,,Southampton,yes,True,-0.6223367722723301,1,Adult,-0.22158303292362594,man,Medium,1,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
0,3,female,0.09844027802760695,1,0,-0.32340532401225514,S,Third,woman,False,,Southampton,no,False,0.035513783200323175,0,Adult,-0.32701040261321607,woman,High,0,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
1,3,female,-0.5805310492667083,0,0,-0.5295270486294538,C,Third,woman,False,,Cherbourg,yes,True,-0.6223367722723301,1,Adult,-0.3737937979129717,woman,Low,0,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
0,2,male,0.3843229421515292,0,0,-0.1703683126955415,S,Second,man,True,,Southampton,no,True,-0.6223367722723301,1,Adult,0.12105591856754198,man,High,1,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
1,2,male,0.3128522761205486,0,0,-0.4190534560852011,S,Second,man,True,D,Southampton,yes,True,-0.6223367722723301,1,Adult,-0.22158303292362594,man,Medium,1,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
1,3,female,-1.0450903784680818,0,0,-0.5141430030668411,Q,Third,child,False,,Queenstown,yes,True,-0.6223367722723301,1,Teen,-0.3525976252368796,child,Low,0,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
1,1,male,-0.11597172006533471,0,0,0.011363138243055909,S,First,man,True,A,Southampton,yes,True,-0.6223367722723301,1,Adult,0.3714459215803185,man,Very_High,1,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
0,3,female,-1.5453850406849459,3,1,-0.26458172278739334,S,Third,child,False,,Southampton,no,False,2.009065449618283,0,Child,-0.45312789360438827,child,High,0,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
1,3,female,0.5987349402444708,1,5,-0.06730745038694219,S,Third,woman,False,,Southampton,yes,False,3.324766560563589,0,Middle_Age,-0.44603978562436497,woman,High,0,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
0,3,male,-0.3303837181582764,0,0,-0.5295270486294538,C,Third,man,True,,Cherbourg,no,True,-0.6223367722723301,1,Adult,-0.3737937979129717,man,Low,1,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
0,1,male,-0.7592077143441597,3,2,4.3633531475620995,S,First,man,True,C,Southampton,no,False,2.666916005090936,0,Adult,0.5910862751002981,man,Very_High,1,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
1,3,female,-0.5805310492667083,0,0,-0.5170124470290295,Q,Third,woman,False,,Queenstown,yes,True,-0.6223367722723301,1,Adult,-0.3565511516002392,woman,Low,0,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
0,3,male,-0.3303837181582764,0,0,-0.5166948952305473,S,Third,man,True,,Southampton,no,True,-0.6223367722723301,1,Adult,-0.3561136280160274,man,Low,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
0,1,male,0.741676272306432,0,0,-0.1374500515613164,C,First,man,True,,Cherbourg,no,True,-0.6223367722723301,1,Middle_Age,0.16641077300800367,man,High,1,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
1,1,female,0.3843229421515292,1,0,2.1351495664918807,C,First,woman,False,B,Cherbourg,yes,False,0.035513783200323175,0,Adult,1.3666908341870183,woman,Very_High,0,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
1,3,female,-0.5805310492667083,0,0,-0.5194839947617944,Q,Third,woman,False,,Queenstown,yes,True,-0.6223367722723301,1,Adult,-0.359956455641213,woman,Low,0,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
0,2,male,2.5999135891119263,0,0,-0.4668775221216741,S,Second,man,True,,Southampton,no,True,-0.6223367722723301,1,Senior,-0.2874751389796198,man,Medium,1,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
0,1,male,-0.11597172006533471,1,0,0.9041581067130656,C,First,man,True,,Cherbourg,no,False,0.035513783200323175,0,Adult,0.5186594292463778,man,Very_High,1,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
0,1,male,0.8846176043683931,1,0,0.32700197408377774,S,First,man,True,,Southampton,no,False,0.035513783200323175,0,Middle_Age,0.12105591856754198,man,Very_High,1,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,3,male,-0.3303837181582764,0,0,-0.5294467041985125,C,Third,man,True,,Cherbourg,yes,True,-0.6223367722723301,1,Adult,-0.37368309917479764,man,Low,1,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
0,3,male,-0.6162663822821985,0,0,-0.5137451068374177,S,Third,man,True,,Southampton,no,True,-0.6223367722723301,1,Adult,-0.3520494029144937,man,Low,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
0,3,female,-0.8306783803751403,2,0,-0.32340532401225514,S,Third,woman,False,,Southampton,no,False,0.6933643386729765,0,Teen,-0.40608092988040867,woman,High,0,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
1,3,female,-1.1165610444990626,1,0,-0.4526890782099733,C,Third,child,False,,Cherbourg,yes,False,0.035513783200323175,0,Teen,-0.41607412668486066,child,Medium,0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
0,3,female,0.741676272306432,1,0,-0.48648538919662804,S,Third,woman,False,,Southampton,no,False,0.035513783200323175,0,Middle_Age,-0.4393564434386855,woman,Medium,0,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
0,2,female,-0.18744238609631528,1,0,-0.2660164447684875,S,Second,woman,False,,Southampton,no,False,0.035513783200323175,0,Adult,-0.2874751389796198,woman,High,0,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
0,3,male,-0.3303837181582764,0,0,-0.5166948952305473,C,Third,man,True,,Cherbourg,no,True,-0.6223367722723301,1,Adult,-0.3561136280160274,man,Low,1,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
1,2,female,-1.9027383708398486,1,2,0.1276559631426266,C,Second,child,False,,Cherbourg,yes,False,1.3512148941456297,0,Child,-0.290247878802456,child,Very_High,0,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
1,3,female,-0.7592077143441597,0,0,-0.5170124470290295,Q,Third,woman,False,,Queenstown,yes,True,-0.6223367722723301,1,Adult,-0.3565511516002392,woman,Low,0,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
0,3,male,-0.3303837181582764,0,0,-0.5137451068374177,S,Third,man,True,,Southampton,no,True,-0.6223367722723301,1,Adult,-0.3520494029144937,man,Low,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
0,3,male,-0.3303837181582764,1,0,-0.3712293900487281,Q,Third,man,True,,Queenstown,no,False,0.035513783200323175,0,Adult,-0.359956455641213,man,Medium,1,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
0,3,male,-0.3303837181582764,2,0,-0.2530236025076985,C,Third,man,True,,Cherbourg,no,False,0.6933643386729765,0,Adult,-0.3737568983335803,man,High,1,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
0,3,female,-0.8306783803751403,1,0,-0.32723124929517294,S,Third,woman,False,,Southampton,no,False,0.035513783200323175,0,Teen,-0.3296460868554558,woman,High,0,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
0,3,male,-1.6168557067159264,4,1,0.09146844885414819,S,Third,child,False,,Southampton,no,False,2.666916005090936,0,Child,-0.3898824538083102,child,Very_High,1,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
0,3,male,-0.6162663822821985,0,0,-0.518527513441065,S,Third,man,True,,Southampton,no,True,-0.6223367722723301,1,Adult,-0.3586386135200931,man,Low,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
1,1,female,1.384912266585257,1,0,0.8000623316154372,C,First,woman,False,D,Cherbourg,yes,False,0.035513783200323175,0,Middle_Age,0.4469477323835186,woman,Very_High,0,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
1,2,female,-0.04450105403435416,1,0,-0.1703683126955415,S,Second,woman,False,,Southampton,yes,False,0.035513783200323175,0,Adult,-0.22158303292362594,woman,High,0,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
0,1,male,2.528442923080946,0,1,0.5179003420002463,C,First,man,True,B,Cherbourg,no,False,0.035513783200323175,0,Senior,0.2525660195183367,man,Very_High,1,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
1,1,male,0.741676272306432,0,0,0.011363138243055909,S,First,man,True,C,Southampton,yes,True,-0.6223367722723301,1,Middle_Age,0.3714459215803185,man,Very_High,1,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
1,2,female,-0.6162663822821985,0,0,-0.4668775221216741,S,Second,woman,False,,Southampton,yes,True,-0.6223367722723301,1,Adult,-0.2874751389796198,woman,Medium,0,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
0,3,male,-0.08023638704984444,0,0,-0.5294467041985125,C,Third,man,True,,Cherbourg,no,True,-0.6223367722723301,1,Adult,-0.37368309917479764,man,Low,1,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
1,2,female,-1.7597970387778874,1,2,-0.1368914664700104,S,Second,child,False,,Southampton,yes,False,1.3512148941456297,0,Child,-0.381371390109411,child,High,0,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
0,3,male,-1.330973042592004,5,2,0.22944087936937277,S,Third,child,False,,Southampton,no,False,3.9826171160362427,0,Child,-0.40970499571348834,child,Very_High,1,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
0,3,male,-0.544795716251218,0,0,-0.5294467041985125,C,Third,man,True,,Cherbourg,no,True,-0.6223367722723301,1,Adult,-0.37368309917479764,man,Low,1,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
1,1,female,0.5987349402444708,0,0,0.8626315136922753,S,First,woman,False,B,,yes,True,-0.6223367722723301,1,Middle_Age,1.5443254093770087,woman,Very_High,0,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
0,1,male,1.0990296024613346,1,0,0.9291069654829727,S,First,man,True,C,Southampton,no,False,0.035513783200323175,0,Middle_Age,0.535846726190023,man,Very_High,1,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
0,3,male,-1.8312677048088681,3,2,-0.13402202250782205,S,Third,child,False,,Southampton,no,False,2.666916005090936,0,Child,-0.4416626671506454,child,High,1,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
1,3,male,-0.3303837181582764,1,1,-0.3760921410833167,C,Third,man,True,,Cherbourg,yes,False,0.6933643386729765,0,Adult,-0.4302782683469978,man,Medium,1,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
1,2,female,-0.04450105403435416,0,0,-0.4668775221216741,S,Second,woman,False,F,Southampton,yes,True,-0.6223367722723301,1,Adult,-0.2874751389796198,woman,Medium,0,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
0,3,male,-0.7592077143441597,0,0,-0.5116733682967176,S,Third,man,True,,Southampton,no,True,-0.6223367722723301,1,Adult,-0.34919495688014807,man,Medium,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
1,3,female,-0.9021490464061208,4,2,-0.5161363101392413,S,Third,woman,False,,Southampton,yes,False,3.324766560563589,0,Teen,-0.5343822735294367,woman,Low,0,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
0,3,male,-0.2589130521272958,2,0,-0.5020282106584818,S,Third,man,True,,Southampton,no,False,0.6933643386729765,0,Adult,-0.488116601920121,man,Medium,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
0,2,male,0.1699109440585875,0,0,-0.4668775221216741,S,Second,man,True,,Southampton,no,True,-0.6223367722723301,1,Adult,-0.2874751389796198,man,Medium,1,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
0,3,female,-0.9736197124371013,5,2,0.22944087936937277,S,Third,woman,False,,Southampton,no,False,3.9826171160362427,0,Teen,-0.40970499571348834,woman,Very_High,0,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
0,2,male,-0.6162663822821985,0,0,0.7382889419974455,S,Second,man,True,,Southampton,no,True,-0.6223367722723301,1,Adult,1.3730059336314246,man,Very_High,1,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
0,3,male,-0.2589130521272958,1,0,-0.3912351533531055,C,Third,man,True,,Cherbourg,no,False,0.035513783200323175,0,Adult,-0.37373844854388466,man,Medium,1,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
1,3,male,0.1699109440585875,0,0,0.4130049485184879,S,Third,man,True,,Southampton,yes,True,-0.6223367722723301,1,Adult,0.9248289137124927,man,Very_High,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
0,3,male,-0.3303837181582764,0,0,-0.5213969574032534,S,Third,man,True,F,Southampton,no,True,-0.6223367722723301,1,Adult,-0.36259213988345274,man,Low,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
1,2,male,-2.0578297161270767,0,2,-0.1129794334517739,S,Second,child,False,,Southampton,yes,False,0.6933643386729765,0,Child,-0.3094391743316177,child,High,1,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
1,3,female,0.026969611996626397,0,0,-0.4290965099528604,S,Third,woman,False,,Southampton,yes,True,-0.6223367722723301,1,Adult,-0.23542037519538467,woman,Medium,0,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
0,3,male,-0.544795716251218,0,0,-0.49557196174355794,S,Third,man,True,,Southampton,no,True,-0.6223367722723301,1,Adult,-0.32701040261321607,man,Medium,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
1,3,male,-0.04450105403435416,0,0,-0.4860071485362633,S,Third,man,True,,Southampton,yes,True,-0.6223367722723301,1,Adult,-0.3138319814020173,man,Medium,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
1,3,female,-0.5805310492667083,0,0,-0.5187666337712473,Q,Third,woman,False,,Queenstown,yes,True,-0.6223367722723301,1,Adult,-0.35896807405037306,woman,Low,0,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
0,1,male,-0.11597172006533471,0,0,0.23326680465229066,S,First,man,True,,Southampton,no,True,-0.6223367722723301,1,Adult,0.6771852936801299,man,Very_High,1,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,2,female,-0.9021490464061208,0,0,-0.4668775221216741,S,Second,woman,False,,Southampton,yes,True,-0.6223367722723301,1,Teen,-0.2874751389796198,woman,Medium,0,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
1,3,female,0.24138161008956807,3,0,-0.36453402080362185,S,Third,woman,False,,Southampton,yes,False,1.3512148941456297,0,Adult,-0.4597829963160437,woman,Medium,0,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
0,3,male,-0.9736197124371013,1,3,-0.010157691473356942,S,Third,man,True,,Southampton,no,False,2.009065449618283,0,Teen,-0.38301869276081085,man,High,1,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
1,1,female,-0.47332505022023746,3,2,4.3633531475620995,S,First,woman,False,C,Southampton,yes,False,2.666916005090936,0,Adult,0.5910862751002981,woman,Very_High,0,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
0,3,male,-0.40185438418925695,0,0,-0.5137451068374177,S,Third,man,True,,Southampton,no,True,-0.6223367722723301,1,Adult,-0.3520494029144937,man,Low,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
0,3,male,-0.04450105403435416,0,0,-0.5137451068374177,S,Third,man,True,,Southampton,no,True,-0.6223367722723301,1,Adult,-0.3520494029144937,man,Low,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
0,3,male,-0.6877370483131792,0,0,-0.5174906876893942,S,Third,man,True,,Southampton,no,True,-0.6223367722723301,1,Adult,-0.3572100726607992,man,Low,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
0,1,male,1.1705002684923154,1,0,0.5025162964376336,S,First,man,True,E,Southampton,no,False,0.035513783200323175,0,Middle_Age,0.24196793318029064,man,Very_High,1,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
0,3,male,-0.2589130521272958,1,2,-0.2741465359946879,S,Third,man,True,,Southampton,no,False,1.3512148941456297,0,Adult,-0.42864897620458653,man,High,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
0,3,male,2.0996189268950625,0,0,-0.529048807969089,S,Third,man,True,,Southampton,no,True,-0.6223367722723301,1,Middle_Age,-0.37313487685241176,man,Low,1,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
0,1,male,2.957266919266829,0,0,-0.00481669977840358,C,First,man,True,A,Cherbourg,no,True,-0.6223367722723301,1,Senior,0.3491533042594548,man,Very_High,1,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False
1,1,male,-0.47332505022023746,0,1,0.5442820097886063,C,First,man,True,D,Cherbourg,yes,False,0.035513783200323175,0,Adult,0.2707403802107009,man,Very_High,1,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1,2,female,0.3128522761205486,0,1,-0.2277571919393091,S,Second,woman,False,,Southampton,yes,False,0.035513783200323175,0,Adult,-0.26111829655722224,woman,High,0,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
0,2,male,0.3128522761205486,1,0,-0.1703683126955415,S,Second,man,True,,Southampton,no,False,0.035513783200323175,0,Adult,-0.22158303292362594,man,High,1,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
0,3,female,-0.11597172006533471,0,0,-0.5166948952305473,S,Third,woman,False,,Southampton,no,True,-0.6223367722723301,1,Adult,-0.3561136280160274,woman,Low,0,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
0,1,male,-0.6162663822821985,0,1,0.8107424020427021,S,First,man,True,D,Southampton,no,False,0.035513783200323175,0,Adult,0.4543052449457307,man,Very_High,1,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
0,3,male,0.24138161008956807,0,0,-0.5021869865577229,S,Third,man,True,,Southampton,no,True,-0.6223367722723301,1,Adult,-0.33612459872288114,man,Medium,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
0,3,male,0.5272642742134903,2,0,-0.5161363101392413,S,Third,man,True,,Southampton,no,False,0.6933643386729765,0,Middle_Age,-0.4945959923489604,man,Low,1,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
0,3,male,-0.11597172006533471,0,0,-0.5166948952305473,S,Third,man,True,,Southampton,no,True,-0.6223367722723301,1,Adult,-0.3561136280160274,man,Low,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
1,3,female,-0.6162663822821985,0,0,-0.5213969574032534,S,Third,woman,False,,Southampton,yes,True,-0.6223367722723301,1,Adult,-0.36259213988345274,woman,Low,0,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
1,3,male,-0.3303837181582764,0,0,-0.5190057541014297,S,Third,man,True,,Southampton,yes,True,-0.6223367722723301,1,Adult,-0.35929753458065306,man,Low,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
